Label,SiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,H2O,TiO2,P2O5,MnO,CO2,Cl,F 
57F-18,49.63,13.76,3.69,9.31,5.8,10.23,2.74,0.61,0.28,3.49,0.35,0.19,0.02,0,0
57F-15,48.53,11.15,1.15,10.71,15.17,8.94,1.76,0.33,0.17,1.91,0.18,0.18,0.01,0,0
57F-17,49.4,12.46,1.51,10.25,10.96,10.32,2.05,0.38,0.26,2.21,0.22,0.18,0.02,0,0
57F-66,50.59,13.2,1.49,9.92,8.38,10.88,2.19,0.39,0.36,2.4,0.23,0.18,0.02,0,0
55F-97,50.77,13.46,2.07,9.24,8.14,10.76,2.23,0.38,0.08,2.51,0.24,0.17,0.02,0,0
53P-12,50.98,13.75,3.38,8.04,7.18,11.17,2.34,0.43,0.06,2.52,0.23,0.17,0,0,0
53P-32,50.52,13.82,3.58,7.9,7.13,11.12,2.2,0.44,0.32,2.65,0.23,0.17,0.01,0,0
53P-33,50.73,13.74,1.83,9.45,7.23,11.22,2.2,0.46,0.16,2.62,0.22,0.17,0.01,0,0
53P-35,50.94,14.04,2.67,8.2,7.24,11.29,2.23,0.4,0.15,2.46,0.21,0.16,0,0,0
53P-30,51.47,14.53,1.32,9.08,7.12,11.18,2.38,0.39,0.09,2.25,0.2,0.16,0,0,0
HIGS-2,51.52,14.1,1.7,9.28,6.79,10.92,2.34,0.42,0.11,2.37,0.23,0.17,0.02,0.01,0.03
8X002-0,51.04,14.3,1.59,9.41,6.93,10.78,2.4,0.46,0.27,2.43,0.24,0.17,0,0.02,0.04
8X038-0,51.11,14.67,1.4,9.02,7.35,11.29,2.24,0.33,0.08,2.1,0.19,0.17,0,0.01,0.03
8X067-0,49.07,12.28,1.16,9.74,13.23,9.75,1.89,0.3,0.12,2,0.17,0.17,0,0.01,0.04
8X078-0,47.97,10.48,1.67,10.04,17.03,8.3,1.67,0.31,0.18,1.98,0.18,0.17,0.01,0.01,0.03
1790,50.52,13.35,1.66,10.15,8.29,10.04,2.25,0.45,0.28,2.63,0.25,0.18,0.01,0.01,0.04
1832,50.23,13.5,3.08,8.06,8.49,10.89,2.18,0.45,0.17,2.44,0.24,0.17,0.04,0.01,0.04
